bs_code,symbol,name,market,board
sh.600000,600000,浦发银行,sh,main_board
sh.600004,600004,白云机场,sh,main_board
sh.600006,600006,东风股份,sh,main_board
sh.600007,600007,中国国贸,sh,main_board
sh.600008,600008,首创环保,sh,main_board
sh.600009,600009,上海机场,sh,main_board
sh.600010,600010,包钢股份,sh,main_board
sh.600011,600011,华能国际,sh,main_board
sh.600012,600012,皖通高速,sh,main_board
sh.600015,600015,华夏银行,sh,main_board
sh.600016,600016,民生银行,sh,main_board
sh.600017,600017,日照港,sh,main_board
sh.600018,600018,上港集团,sh,main_board
sh.600019,600019,宝钢股份,sh,main_board
sh.600020,600020,中原高速,sh,main_board
sh.600021,600021,上海电力,sh,main_board
sh.600022,600022,山东钢铁,sh,main_board
sh.600023,600023,浙能电力,sh,main_board
sh.600025,600025,华能水电,sh,main_board
sh.600026,600026,中远海能,sh,main_board
sh.600027,600027,华电国际,sh,main_board
sh.600028,600028,中国石化,sh,main_board
sh.600029,600029,南方航空,sh,main_board
sh.600030,600030,中信证券,sh,main_board
sh.600031,600031,三一重工,sh,main_board
sh.600032,600032,浙江新能,sh,main_board
sh.600033,600033,福建高速,sh,main_board
sh.600035,600035,楚天高速,sh,main_board
sh.600036,600036,招商银行,sh,main_board
sh.600037,600037,歌华有线,sh,main_board
sh.600038,600038,中直股份,sh,main_board
sh.600039,600039,四川路桥,sh,main_board
sh.600048,600048,保利发展,sh,main_board
sh.600050,600050,中国联通,sh,main_board
sh.600051,600051,宁波联合,sh,main_board
sh.600052,600052,东望时代,sh,main_board
sh.600054,600054,黄山旅游,sh,main_board
sh.600055,600055,万东医疗,sh,main_board
sh.600056,600056,中国医药,sh,main_board
sh.600057,600057,厦门象屿,sh,main_board
sh.600058,600058,五矿发展,sh,main_board
sh.600059,600059,古越龙山,sh,main_board
sh.600060,600060,海信视像,sh,main_board
sh.600061,600061,国投资本,sh,main_board
sh.600062,600062,华润双鹤,sh,main_board
sh.600063,600063,皖维高新,sh,main_board
sh.600064,600064,南京高科,sh,main_board
sh.600066,600066,宇通客车,sh,main_board
sh.600067,600067,冠城新材,sh,main_board
sh.600071,600071,凤凰光学,sh,main_board
sh.600072,600072,中船科技,sh,main_board
sh.600073,600073,光明肉业,sh,main_board
sh.600075,600075,新疆天业,sh,main_board
sh.600076,600076,康欣新材,sh,main_board
sh.600078,600078,澄星股份,sh,main_board
sh.600081,600081,东风科技,sh,main_board
sh.600085,600085,同仁堂,sh,main_board
sh.600088,600088,中视传媒,sh,main_board
sh.600089,600089,特变电工,sh,main_board
sh.600094,600094,大名城,sh,main_board
sh.600095,600095,湘财股份,sh,main_board
sh.600096,600096,云天化,sh,main_board
sh.600097,600097,开创国际,sh,main_board
